|price|downpmt|monthdue|pmttype|use|age|gender|default|defaultdt|enrolldt
0|1830.234|210.0|6.0|CreditCard|1|0|0|0||2019-01-01
1|1296.666|1296.666|6.0|Cash|0|0|0|0||2019-01-01
2|930.4428|105.0|5.0|Cash|0|0|0|0||2019-01-01
3|1775.1299999999999|99.11999999999999|5.89|Cash|0|19|0|0||2019-01-01
4|587.16|24.36|5.5|CreditCard|1|21|1|0||2019-01-01
5|708.3467999999999|84.0|5.0|CreditCard|6|22|1|0||2019-01-01
6|419.15999999999997|84.0|4.0|CreditCard|0|25|1|0||2019-01-01
7|1286.4851999999998|25.2|5.5|CreditCard|1|26|1|0||2019-01-01
8|839.16|33.6|5.5|Cash|0|27|1|1|2020-06-30|2019-01-01
9|705.0792|705.0792|6.0|Cash|1|29|1|0||2019-01-01
10|1386.924|84.0|5.83|Cash|0|29|0|0||2019-01-01
11|545.16|545.16|9.0|Cash|0|32|1|0||2019-01-01
12|1048.32|147.0|6.0|CreditCard|1|32|1|0||2019-01-01
13|990.36|126.0|11.0|Cheque|0|33|1|0||2019-01-01
14|1031.52|231.0|11.0|Cash|3|39|0|0||2019-01-01
15|1349.04|67.2|5.5|CreditCard|0|40|0|0||2019-01-01
16|822.36|126.0|5.5|DirectDebit|0|44|0|0||2019-01-01
17|1098.5688|126.0|5.86|Cash|1|49|1|1|2020-02-29|2019-01-01
18|763.0476|42.0|5.82|Cash|0|53|0|1|2019-01-31|2019-01-01
19|798.3696|199.5924|9.0|DirectDebit|0|0|1|0||2019-01-02
20|587.16|252.0|7.0|CreditCard|0|3|0|0||2019-01-02
21|1257.48|1257.48|6.0|Cash|0|4|1|0||2019-01-02
22|1116.6204|84.0|5.5|Cash|3|20|1|0||2019-01-02
23|684.558|21.0|5.83|Cash|0|21|0|1|2019-02-28|2019-01-02
24|503.15999999999997|25.2|8.5|Cash|3|21|0|0||2019-01-02
25|1098.5688|168.0|5.5|CreditCard|5|21|0|0||2019-01-02
26|393.96|4.2|0.0|Cash|1|22|0|1|2021-04-30|2019-01-02
27|797.16|0.0|4.0|Cash|0|24|1|1|2019-01-31|2019-01-02
28|401.6796|25.2|24.0|Cheque|0|25|0|0||2019-01-02
29|930.7199999999999|231.0|5.5|DirectDebit|0|26|0|0||2019-01-02
30|780.36|780.36|4.0|Cash|6|26|0|0||2019-01-02
31|1199.52|126.0|15.0|DirectDebit|4|26|0|0||2019-01-02
32|890.2067999999999|31.08|5.5|DirectDebit|1|27|1|0||2019-01-02
33|721.56|15.959999999999999|5.5|Cash|0|27|0|0||2019-01-02
34|413.4984|84.0|18.7|Cash|7|28|1|0||2019-01-02
35|1714.9104|168.0|5.5|Cash|1|28|0|0||2019-01-02
36|302.5428|151.2756|11.0|CreditCard|3|29|0|0||2019-01-02
37|1199.52|1199.52|6.0|Cash|0|29|0|0||2019-01-02
38|822.36|63.0|5.5|Cash|1|29|1|0||2019-01-02
39|457.8|15.959999999999999|0.0|Cash|1|29|0|0||2019-01-02
40|968.8392|484.4196|3.0|DirectDebit|0|30|1|0||2019-01-02
41|968.8392|484.4196|3.0|DirectDebit|0|30|0|0||2019-01-02
42|990.36|4.2|5.5|Cash|0|31|0|1|2019-03-31|2019-01-02
43|671.16|335.58|6.0|DirectDebit|1|31|1|0||2019-01-02
44|457.8|15.959999999999999|2.0|Cheque|0|35|0|0||2019-01-02
45|875.8176000000001|31.08|5.86|Cash|1|36|0|1|2019-03-31|2019-01-02
46|750.4224|210.0|5.5|DirectDebit|0|36|0|0||2019-01-02
47|1072.7807999999998|1072.7807999999998|6.0|Cash|0|36|1|0||2019-01-02
48|1199.52|25.2|5.5|CreditCard|0|37|0|0||2019-01-02
49|419.15999999999997|419.15999999999997|13.0|Cash|0|37|0|0||2019-01-02
50|1098.5688|1098.5688|6.0|Cash|1|39|1|0||2019-01-02
51|393.96|393.96|13.0|Cash|1|42|1|0||2019-01-02
52|1199.52|63.0|10.0|Cash|0|43|1|1|2020-11-30|2019-01-02
53|419.15999999999997|419.15999999999997|13.0|Cash|6|43|0|0||2019-01-02
54|721.56|721.56|9.0|Cash|0|51|0|0||2019-01-02
55|419.5716|33.6|18.0|Cheque|1|52|0|0||2019-01-02
56|930.7199999999999|930.7199999999999|9.0|Cash|0|58|1|0||2019-01-02
57|1206.24|210.0|9.0|Cheque|0|0|0|0||2019-01-03
58|313.6812|210.0|11.0|Cash|5|24|1|0||2019-01-03
59|503.15999999999997|21.84|5.5|CreditCard|1|25|0|0||2019-01-03
60|960.5148|84.0|5.83|DirectDebit|5|26|1|0||2019-01-03
